,date,date.1,city,co,pm2.5,Lat,Long
81,2014-4,4,Dongguan,350.0,3789.0,23.020536,113.751765
82,2014-4,4,Guangzhou,261.0,3909.0,23.141191,113.258374
83,2014-4,4,Handan,348.0,5783.0,36.625604,114.539085
84,2014-4,4,Jinan,360.0,5617.0,36.650997,117.120497
85,2014-4,4,Jining,310.0,5381.0,35.414921,116.587099
86,2014-4,4,Kuala Lumpur,286.0,3397.0,3.139003,101.686855
87,2014-4,4,Lima,90.0,1380.0,-12.07054,-77.04322
88,2014-4,4,Linyi,555.0,5632.0,35.104672,118.356448
89,2014-4,4,Nagoya,128.0,2518.0,35.1814464,136.906398
90,2014-4,4,Nanyang,300.0,2940.0,32.990833,112.528322
91,2014-4,4,New York,30.0,1162.0,40.7127837,-74.0059413
92,2014-4,4,Paris,157.0,2200.0,48.856614,2.3522219
93,2014-4,4,Seoul,197.0,960.0,37.566535,126.9779692
94,2014-4,4,Shanghai,150.0,3729.0,31.2047372,121.4489017
95,2014-4,4,Shijiazhuang,372.0,6053.0,38.042307,114.51486
96,2014-4,4,Tianjin,517.0,4760.0,39.084158,117.200983
97,2014-4,4,Tokyo,300.0,2026.0,35.6414629,139.6981712
98,2014-4,4,Weifang,306.0,4688.0,36.706774,119.161756
99,2014-4,4,Zhengzhou,710.0,4752.0,34.7466,113.625368
100,2014-5,5,Bangalore,114.0,1674.0,12.938539,77.5901
101,2014-5,5,Baoding,482.0,5643.0,38.873891,115.464806
102,2014-5,5,Beijing,217.0,4388.0,39.954592,116.468117
103,2014-5,5,Changsha,323.0,4725.0,28.228209,112.938814
104,2014-5,5,Chengdu,242.0,4824.0,30.6250145,104.0670559
105,2014-5,5,Chongqing,337.0,4330.0,29.56301,106.551557
106,2014-5,5,Dongguan,258.0,3128.0,23.020536,113.751765
107,2014-5,5,Guangzhou,257.0,3404.0,23.141191,113.258374
108,2014-5,5,Handan,441.0,5035.0,36.625604,114.539085
109,2014-5,5,Jinan,327.0,5395.0,36.650997,117.120497
110,2014-5,5,Jining,293.0,5151.0,35.414921,116.587099
